iter	Passed	Remaining
0	152	152826
1	163	81584
2	172	57459
3	184	45942
4	193	38586
5	204	33941
6	214	30375
7	222	27650
8	232	25598
9	242	23965
10	252	22727
11	264	21776
12	275	20882
13	284	20029
14	295	19425
15	303	18643
16	312	18076
17	323	17650
18	334	17292
19	345	16933
20	354	16547
21	366	16272
22	375	15945
23	388	15784
24	401	15641
25	411	15430
26	422	15234
27	434	15093
28	444	14887
29	453	14654
30	469	14667
31	478	14475
32	488	14300
33	497	14125
34	507	14001
35	519	13900
36	529	13794
37	538	13639
38	547	13496
39	558	13400
40	566	13258
41	576	13155
42	586	13055
43	596	12964
44	605	12851
45	620	12869
46	630	12783
47	640	12703
48	649	12607
49	660	12554
50	670	12469
51	679	12383
52	687	12287
53	696	12203
54	705	12122
55	715	12057
56	725	11994
57	734	11931
58	744	11869
59	753	11812
60	763	11757
61	778	11774
62	788	11723
63	797	11662
64	805	11587
65	815	11543
66	822	11456
67	830	11376
68	839	11330
69	849	11282
70	857	11224
71	867	11178
72	876	11133
73	886	11095
74	896	11062
75	908	11042
76	917	10994
77	926	10946
78	935	10906
79	943	10853
80	953	10821
81	963	10786
82	973	10755
83	982	10713
84	993	10698
85	1003	10661886	1011	10618887	1020	10573888	1029	10539889	1038	10502990	1051	10498991	1060	10462992	1068	10419993	1077	1038794	1085	10344
95	1096	10322
996	1107	1031297	1115	10267
998	1124	10237999	1133	102001100	1142	101711101	1151	101351102	1160	10107103	1169	10072
104	1179	10051
105	1188	10025
106	1200	100201107	1210	99991108	1219	99691109	1227	99331110	1235	98921111	1243	98601112	1253	9839113	1264	9829
114	1272	9790
1115	1277	9737116	1288	9722
117	1296	9687
118	1304	9655
1119	1311	96161120	1318	95781121	1326	9547122	1338	9540
1123	1344	94971124	1354	94791125	1364126	11126	1372127	11127	1380128	11128	1390	93861129	1399	93621130	1408	93401131	1416	93121132	1423	92801133	1430134	11134	1439	92241135	1449	92051136	1458	91891137	1467	91641138	1475	91411139	1483	91131140	1491	90871141	1499	90631142	1512	90641143	1520	90371144	1528	9010145	1538	8999
146	1547	8979
147	1556	8959
1148	1562	89261149	1572	89121150	1580	88861151	1588	88641152	1596	8840153	1606	8827
154	1614	8804
1155	1623	87811156	1630	8757157	1640	8740
158	1647	8712
159	1658	160	1160	1666	161	1161	1674	162	1162	1683	163	1163	1691	164	1164	1699	165	11165	1702166	11166	1711167	1167	1723	168	1168	1733	169	1169	1741	170	1170	1750	171	11171	1753172	11172	1764173	11173	1773174	11174	1780175	1175	1794	176	1800	8371
177	18177	1806178	18178	1814179	18179	1823180	1832	8291
181	18181	1839182	1848	8251
183	1856	8233
184	1864	8214
185	18185	1874186	18186	1882187	1891	8168
188	1900	8154
189	1908	8134
190	1916	8115
191	1926	8106
192	1938	8104
193	1946	8087
194	1954	8070
195	1962	8052
196	1970	8031
197	1977	8009
198	1984	7989
199	1992	7971
200	2001	7954
201	2010	7944
202	2019	7927
203	2026	7907
204	2034	7891
205	2044	7879
206	2053	7865
207	2059	7843
208	2069	7832
209	2076	7810
210	2086	7802
211	2094	7784
212	2103	7773
213	2111	7754
214	2118	7734
215	2125	7716
216	2132	7696
217	2140	7679
218	2149	7666
219	2157	7650
220	2165	7633
221	2174	7619
222	2183	7607
223	2191	7592
224	2200	7580
225	2209	7566
226	2218	7554
227	2229	7547
228	2237	7534
229	2246	7519
230	2255	7508
231	2265	7498
232	2274	7485
233	2285	7481
234	2291	7460
235	2301	7449
236	2309	7436
237	2319	7426
238	2329	7416
239	2337	7400
240	2345	7385
241	2353	7371
242	2363	7362
243	2372	7351
244	2379	7334
245	2388	7320
246	2396	7304
247	2403	7289
248	2411	7273
249	2420	7260
250	2427	7243
251	2434	7226
252	2441	7209
253	2451	7200
254	2460	7187
255	2466	7168
256	2474	7153
257	2482	7140
258	2490	7125
259	2501	7120
260	2510	7107
261	2517	7091
262	2525	7077
263	2532	7061
264	2543	7053
265	2552	7043
266	2560	7029
267	2568	7015
268	2579	7010
269	2588	6997
270	2598	6989
271	2607	6978
272	2614	6962
273	2624	6952
274	2634	6946
275	2644	6936
276	2653	6926
277	2663	6917
278	2671	6903
279	26279	2678280	2687	6877
281	2696	6864
282	27282	2702283	2713	6840
284	2720	6825
285	2728	6811
286	2736	6799
287	27287	2743288	27288	2752289	27289	2760290	27290	2768291	27291	2776292	27292	2783293	27293	2792294	28294	2803295	28295	2811296	28296	2819297	28297	2828298	28298	2835299	28299	2843300	28300	2852301	28301	2860302	28302	2869303	23303	2877304	28304	2885305	28305	2896	6568
306	2906	6560
307	2912	65433308	2921	6532
309	2933	6528
310	2943	6521
311	2952	6511
312	2962	6502
313	2970	6489
314	2977	6475
315	2985	6463
316	2994	6451
317	3003	6441
318	3012	6431
319	3019	6416
320	3029	6407
321	3038	6397
322	3047	6386
323	3055	6374
324	3063	6362
325	3072	6352
326	3079	6338
327	3089	6329
328	3097	6317
329	3104	6303
330	3112	6290
331	3119	6276
332	3128	6265
333	3134334	31334	3143335	31335	3150336	31336	3159337	31337	3168338	31338	3176339	31339	3185340	31340	3193341	31341	3201342	32342	3210343	32343	3217344	32344	3229345	32345	3235346	32346	3242347	32347	3251348	32348	3258349	3267	6068
350	3275	6056
351	3283	6045
352	3291	6033
353	3299	6020
354	3306	6008
355	3315	5997
356	3323	5985
357	33357	3331358	33358	3340359	33359	3349360	3359	5946
361	3371	5941
362	33362	3379363	33363	3388364	3397	5909
365	34365	3403366	34366	3412367	3424	5881
368	3433	5871
369	3441	5859
370	3449	5848
371	3458	5838
372	3467	5828
373	3475	5816
374	3483	5805
375	3491	5793
376	3499	5782
377	35377	3506378	3518	5764
379	3529	5758
380	3538	5749
381	3547	5739
382	3556	5728
383	3565	5718
384	3572	5706
385	3581	5696
386	3589	5685
387	3597	5674
388	3605	5663
389	3613	5651
390	3622	5641
391	36391	3629392	36392	3637393	3646	5609
394	36394	3653395	36395	3665396	36396	3673397	36397	3681398	33398	3691399	33399	3700400	34400	3708401	37401	3717402	3727	5522
403	3737	5514
404	3749	5509
405	3762	5504
406	3771	5494
407	3780	5485
408	3789	5476
409	3802	5471
410	3812	5464
411	3822	5456
412	3832	5446
413	3840	5436
414	3849	5426
415	3857	5415
416	3866	5405
417	3875	5395
418	3884	5385
419	3892	5374
420	3900	5363
421	3909	5354
422	3918	5345
423	3927	5335
424	3936	5325
425	3947	5319
426	3958	5311
427	3968	5303
428	3976	5293
429	3984	5281
430	3992	5271
431	4001	5261
432	4011	5252
433	4019	5242
434	4028	5232
435	4036	5222
436	4045	5212
437	4054	5202
438	4063	5192
439	4071	5182
440	4080	5172
441	4089	5162
442	40442	4098443	41443	4110444	41444	4120445	41445	4129446	41446	4139	5120
447	4148448	41448	4158449	41449	4166	5092
450	4175	5082
451	4183452	41452	4191453	41453	4200	50514454	4208	50404455	4218	5032
456	4228	5024
457	4237	5014
458	4249	5008
459	4258	4999
460	4268	4990
461	4276	4980
462	4284	4969
463	4296	4963
464	4305	4953
465	4317	4947
466	4326	4938
467	4337	4930
468	4345	4920
469	4355	4911
470	4364	4901
471	4373	4892
472	4384	4885
473	4392	4874
474	4403	4866
475	4413	4858
476	4421	4848
477	4432	4840
478	4440	4829
479	4448	4819
480	4457	4809
481	4465	4798
482	4475	4790
483	4483	4779
484	4492	4770
485	4502	4761
486	4513	4754
487	4521	4744
488	4531	4735
489	4540	4725
490	4547	47134491	4558	4706
492	4570	4700
493	4579	4690
494	4586	4679
495	4596	4670
496	4604	4660
497	4614	4651
498	4624	4642
499	4634	4634
500	4644	4625
501	4652	4615
502	4661	4605
503	4669	45955504	4679	45865505	4688	45775506	4697	45675507	4710	4562
508	4723	4556
509	4732	4547
510	4743	4539
511	4756	4533
512	4765	4524
513	4775	4515
514	4786	4507
515	4795	4498
516	4806	4490
517	4818	4484
518	4829	4476
519	4842	4469
520	4852	4461
521	4864	4454
522	4877	4448
523	4887	4439
524	4897	4431
525	4907	4421
526	4917	4413
527	4927	4405
528	4935	4394
529	4945	4385
530	4957	4378
531	4968	4370
532	4977	4361
533	4986	4351
534	4996	4342
535	5005	4332
536	5017	4326
537	5029	4318
538	5039	4310
539	5047	4300
540	5058	4291
541	5066	4281
542	5076	4272
543	5084	4262
544	5094	4253
545	5103	4243
546	5113	4235
547	5123	4226
548	5132	4216
549	5143	4208
550	5152	4198
551	5160	4188
552	5172	4181
553	5184	4173
554	5193	4163
555	5202	4154
